Calories,Protein,Carbs,Fat,C_type_Beverage,C_type_Chinese,C_type_Dessert,C_type_French,C_type_Healthy Food,C_type_Indian,C_type_Italian,C_type_Japanese,C_type_Korean,C_type_Mexican,C_type_Nepalese,C_type_Snack,C_type_Spanish,C_type_Thai,C_type_Vietnames,Veg_Non_veg,all,almonds,and,baking,basil,bay,black,boneless,bread,brown,butter,capsicum,cardamom,carrot,castor,celery,cheese,chicken,chilli,chillies,chocolate,cilantro,cinnamon,cloves,coconut,coriander,corn,cream,crushed,cucumber,cumin,curd,curry,cut,dark,dried,dry,egg,eggs,essence,fish,flakes,flour,for,fresh,garam,garlic,ghee,ginger,green,ground,honey,into,juice,lamb,leaves,lemon,masala,milk,mint,mustard,of,oil,olive,onion,onions,or,parsley,paste,pepper,pieces,potato,powder,purpose,red,refined,rice,salt,sauce,seeds,sesame,soda,soy,stock,sugar,the,thyme,to,tomato,tomatoes,turmeric,vanilla,vegetable,vinegar,water,white,whole,wine,yellow,yogurt,happy,neutral,stressed,food_id
-0.689954738,-1.022882671,-0.194410957,-0.364651121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,0.36539479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524394691,0,0,0,0,0.39116359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204128523,0,0,0.375670581,0,0.170507431,0,0.305130999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36539479,0,0,0,0,0,1,22
0.059954156,-0.830937973,0.382152161,0.396955784,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.700903259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713256351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23
-0.090027623,-0.543020926,0.574339867,0.016152332,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.330482253,0,0,0,0,0,0,0,0,0,0,0.327697235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360024274,0,0,0.352630135,0,0,0,0,0,0,0,0.277527163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672613697,0,0,0,0,1,0,24
-0.539972959,-0.926910322,0.093870602,0.016152332,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.275786196,0,0.213677771,0.480077145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17224514,0,0,0,0,0.256966854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279493824,0,0,0,0,0.233893473,0,0.200449518,0,0,0,0.134098024,0.275786196,0,0,0,0,0,0.200449518,0,0.279493824,0,0,0.165419957,0,0,0,0,0,0,0.251689297,0,0,0,0,0,0,0,0.275786196,0,0,1,25
-0.989918296,-0.830937973,-0.57878637,-0.364651121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0.232884077,0,0,0,0,0.183993342,0,0,0,0,0,0,0,0,0,0,0,0.172460438,0,0,0,0,0,0,0,0.265505993,0,0,0,0.205432845,0,0.239138034,0,0,0,0,0,0,0,0,0.248491236,0,0,0,0,0,0,0,0,0,0,0,0.205432845,0,0.193310731,0.191126572,0,0,0,0.243653245,0,0.121188287,0.192209844,0,0,0,0,0,0.159171686,0,0,0.397182368,0,0.167735051,0,0,0.110588082,0,0.395805058,0,0,0,0,0,0,0,0,0,0,0.208141329,0,0,0,0,0,0,0,0,0,1,0,0,26
-1.889808969,-1.11885502,0.093870602,-1.887864932,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359857928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658965765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350645396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377324311,0,0,0,0,0,0,0,0.413449589,1,0,0,27
-1.73982719,-1.022882671,-0.194410957,-1.887864932,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516756078,0,0,0,0,0.369243934,0,0,0,0,0,0,0,0,0,0.555270994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285406257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454796069,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28
-0.689954738,-0.543020926,-0.386598663,-0.364651121,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0.360057089,0,0,0,0,0,0.226728528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172439642,0.242489235,0,0,0,0,0,0,0,0.525962653,0,0,0,0,0,0,0.19830833,0,0,0,0.12288658,0,0,0,0.23415759,0,0,0,0,0,0,0,0,0,0,0.112137827,0,0,0,0,0,0,0,0.307645357,0,0,0,0,0,0,0.257257026,0,0.192723803,0,0.240309629,0,0,0.276097619,0,1,0,29
-0.389991181,-0.734965624,0.382152161,-0.745454574,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0.190533476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187779008,0,0.150052298,0,0,0,0,0,0,0.137863777,0,0,0.375558017,0,0,0,0,0,0,0,0,0,0.320965934,0,0,0.089458147,0,0,0,0.1667598,0,0,0,0,0,0,0,0,0,0,0,0.162656317,0.257979925,0,0.165107444,0,0.178178222,0.132810262,0,0,0,0,0,0.112565192,0,0,0.074214474,0,0,0,0,0,0.187779008,0,0.407208508,0.187779008,0.365450987,0.142551932,0,0,0,0.17025651,0,0,0,0,0,0,0,1,0,0,30
0.059954156,-0.351076228,-0.386598663,0.587357511,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0.219533566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244479382,0,0,0,0,0,0,0.271759655,0,0.201644172,0.212434938,0,0,0,0.320615441,0.450858006,0,0,0,0,0,0.150046874,0,0,0,0,0,0,0,0,0.184356428,0,0,0,0,0,0,0.231924964,0,0,0,0.150046874,0,0.267640686,0,0,0,0.459370742,0,0.104248415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31
